Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
1512,6394,2251.0,343,2,1995,5,2631,142.0,51.5,42.333333333333336,46.0,65.0,Female
1524,8780,2020.0,1219,9,2001,4,5236,37.0,39.125,29.333333333333332,58.0,34.0,Male
155,4176,942.0,787,7,1968,1,3079,376.0,42.5,37.0,46.0,37.0,Male
1073,9855,3440.0,2623,12,2002,2,5342,19.0,35.22222222222222,21.5,33.0,23.0,Male
1317,7688,3835.0,3149,8,1988,4,2536,40.0,45.25,45.0,36.0,39.0,Male
1492,5872,1491.0,994,11,1997,4,2889,327.0,45.90909090909091,36.5,55.0,41.0,Male
1500,5322,1191.0,287,6,1980,3,2631,269.0,47.0,24.5,61.0,25.0,Male
349,6098,2692.0,2472,9,1988,2,3057,53.0,43.0,31.0,48.0,31.0,Male
857,8851,4042.0,3476,13,2001,2,3952,89.0,47.416666666666664,28.5,33.0,27.0,Male
2619,9626,1604.0,869,9,1973,6,5403,565.0,26.5,22.0,20.0,26.0,Male
759,12705,4922.0,4163,12,2002,1,7024,48.0,50.55555555555556,39.0,54.0,39.0,Male
4001,12995,7661.0,3942,5,1977,3,1333,152.0,41.6,39.333333333333336,42.0,31.0,Male
1141,9925,3484.0,2920,6,1997,3,5300,1.0,50.6,36.5,62.0,32.0,Male
1544,5323,2298.0,1306,5,1997,4,1481,102.0,41.8,39.5,34.0,32.0,Male
0,2081,940.0,508,4,1999,1,1141,351.0,48.0,29.0,29.0,57.0,Female
2417,11729,4998.0,4273,8,1990,6,4314,107.0,42.0,57.2,39.0,85.0,Male
832,4498,719.0,200,11,1984,3,2947,99.0,38.857142857142854,36.666666666666664,30.0,23.0,Male
3133,11252,3955.0,1965,7,1995,5,4164,131.0,32.285714285714285,34.0,30.0,29.0,Male
846,3918,2616.0,1770,4,1992,1,456,4.0,55.0,28.0,53.0,28.0,Male
1729,11361,4179.0,2930,9,2000,3,5453,3.0,36.714285714285715,39.333333333333336,40.0,29.0,Male
2680,7344,2372.0,521,6,1992,2,2292,247.0,41.5,31.5,48.0,34.0,Male
1188,7018,3113.0,2036,5,1992,2,2717,341.0,52.0,31.0,48.0,34.0,Male
0,2856,1136.0,343,4,1989,1,1720,550.0,53.0,36.0,36.0,38.0,Female
1605,10592,6394.0,5475,7,2000,2,2593,64.0,29.571428571428573,32.0,26.0,40.0,Male
519,3142,1203.0,896,4,1996,2,1420,124.0,50.666666666666664,34.0,34.0,34.0,Male
2492,12199,3545.0,2439,16,1994,5,6162,3.0,43.166666666666664,43.0,43.0,40.0,Male
2173,8715,4441.0,3401,5,2003,4,2101,95.0,49.2,39.666666666666664,32.0,37.0,Male
404,4862,2155.0,1751,6,1989,1,2303,99.0,50.833333333333336,36.0,45.0,36.0,Male
3167,11295,2695.0,1770,13,2006,9,5433,29.0,43.0,33.2,28.0,32.0,Male
3511,9141,3842.0,2185,8,1993,6,1788,27.0,44.2,40.0,38.0,35.0,Male
693,12844,4393.0,565,11,1992,2,7758,255.0,42.0,33.5,29.0,37.0,Female
2844,13781,3291.0,1699,16,1990,4,7646,32.0,48.142857142857146,40.75,34.0,33.0,Male
2468,6641,3285.0,1268,4,2010,4,888,73.0,41.333333333333336,52.333333333333336,41.0,41.0,Male
1024,5683,1556.0,684,11,1995,2,3103,151.0,44.2,29.0,41.0,29.0,Male
1154,7346,2873.0,2323,10,1985,3,3319,24.0,47.333333333333336,27.0,38.0,27.0,Male
1711,7266,2862.0,1493,7,1999,3,2693,28.0,40.714285714285715,37.0,35.0,31.0,Male
1412,5675,2388.0,976,8,1996,1,1875,138.0,44.375,26.0,42.0,26.0,Male
3214,12798,6782.0,4436,6,2003,3,2802,350.0,53.2,36.333333333333336,41.0,34.0,Male
695,7380,1776.0,190,9,2008,3,4909,73.0,50.8,46.0,51.0,47.0,Female
719,5675,4034.0,3471,4,2000,2,922,377.0,42.5,37.0,44.0,37.0,Male
3657,9653,3018.0,1361,4,2004,5,2978,56.0,43.5,34.0,38.0,41.0,Female
1953,9531,4279.0,3350,11,2004,3,3299,44.0,32.0,41.666666666666664,23.0,52.0,Male
733,12860,3444.0,1848,16,2008,4,8683,43.0,42.86666666666667,36.5,33.0,40.0,Female
2689,9016,2368.0,1267,9,1999,7,3959,98.0,31.875,41.714285714285715,24.0,24.0,Male
605,8112,6706.0,6101,5,1994,1,801,2.0,51.25,33.0,48.0,33.0,Male
470,4555,1182.0,712,9,2002,1,2903,59.0,46.0,38.0,55.0,38.0,Male
945,7729,3860.0,3372,10,2005,2,2924,102.0,39.666666666666664,37.0,41.0,45.0,Male
0,11547,4870.0,3383,11,1997,1,6677,191.0,48.0,35.0,35.0,28.0,Female
1003,5927,983.0,483,10,2003,3,3941,49.0,37.285714285714285,25.666666666666668,44.0,31.0,Male
823,1870,641.0,24,2,1996,2,406,35.0,41.5,21.0,34.0,21.0,Male
1810,8963,2799.0,1421,6,2002,2,4354,12.0,45.333333333333336,48.5,33.0,43.0,Male
972,2662,1311.0,694,3,2008,4,379,5.0,40.0,28.0,40.0,28.0,Male
1521,10750,3424.0,2964,13,2008,6,5805,34.0,41.75,28.75,40.0,26.0,Male
1070,5345,1158.0,770,9,1989,3,3117,60.0,44.44444444444444,39.666666666666664,32.0,27.0,Male
773,5183,2753.0,2218,3,2007,2,1657,101.0,34.333333333333336,41.0,21.0,40.0,Male
1525,13269,3778.0,2462,12,1997,2,7966,79.0,44.5,28.0,57.0,28.0,Male
1467,5916,1335.0,158,8,1981,2,3114,18.0,53.5,29.0,27.0,29.0,Male
2080,12303,6707.0,5497,11,1991,3,3516,72.0,38.0,33.5,32.0,30.0,Male
1261,5596,1777.0,1070,9,1984,2,2558,70.0,47.666666666666664,46.5,25.0,39.0,Male
1388,4318,1938.0,1399,4,1990,5,992,116.0,29.25,35.8,42.0,22.0,Female
4113,7732,1529.0,101,6,2008,5,2090,122.0,33.5,51.666666666666664,22.0,32.0,Male
612,6562,2482.0,1029,9,2007,3,3468,20.0,45.44444444444444,37.333333333333336,38.0,43.0,Female
885,4596,1076.0,748,8,1996,4,2635,49.0,52.0,33.333333333333336,45.0,31.0,Male
269,2656,1658.0,1509,4,1999,2,729,95.0,45.666666666666664,31.5,37.0,23.0,Male
1433,4507,1905.0,1066,6,1997,4,1169,212.0,40.0,30.5,33.0,41.0,Male
2152,6348,2626.0,1788,3,1986,4,1570,164.0,31.333333333333332,22.5,24.0,19.0,Male
262,7223,2108.0,1846,13,1997,1,4853,120.0,49.54545454545455,22.0,42.0,22.0,Male
1144,10362,5813.0,4870,3,1999,2,3405,63.0,39.333333333333336,31.5,30.0,33.0,Male
436,2750,472.0,1,6,2000,2,1842,86.0,31.4,28.0,24.0,22.0,Female
802,5747,4237.0,3574,5,1985,2,708,114.0,44.2,27.0,42.0,25.0,Male
5777,20433,8468.0,3049,10,2002,2,6188,27.0,35.166666666666664,23.0,24.0,23.0,Male
1549,8989,5446.0,4495,5,1994,3,1994,686.0,43.4,32.0,38.0,10.0,Male
2432,5370,1019.0,68,7,1989,5,1919,31.0,26.5,20.5,62.0,20.0,Male
1686,12554,2611.0,925,13,2009,1,8257,174.0,42.916666666666664,29.0,29.0,29.0,Male
1432,8192,2656.0,1132,9,1997,3,4104,91.0,34.44444444444444,47.666666666666664,35.0,39.0,Female
409,2066,506.0,267,5,2009,2,1151,23.0,32.4,37.0,32.0,44.0,Male
458,5309,2293.0,1835,9,1997,1,2558,23.0,46.142857142857146,27.0,25.0,27.0,Male
1419,8553,1851.0,560,12,2002,2,5283,116.0,42.9,30.0,53.0,30.0,Male
1835,13304,5901.0,4063,7,2003,5,5568,85.0,47.5,49.0,37.0,38.0,Female
2246,6224,1285.0,444,8,1990,4,2693,85.0,46.714285714285715,46.5,46.0,31.0,Male
1684,6805,3454.0,2439,9,1997,5,1667,53.0,43.57142857142857,41.333333333333336,31.0,27.0,Male
2727,8802,5219.0,2757,4,1993,3,856,148.0,34.25,43.0,43.0,35.0,Male
1552,4650,947.0,241,6,1995,5,2151,30.0,55.25,38.2,67.0,29.0,Male
686,7565,2087.0,1401,9,1998,1,4792,36.0,44.111111111111114,28.0,29.0,28.0,Male
142,3398,1894.0,1752,6,1990,1,1362,97.0,35.0,37.0,38.0,37.0,Male
868,10686,4102.0,3701,14,2004,4,5716,25.0,31.25,27.333333333333332,32.0,26.0,Male
2440,16708,3724.0,2077,15,2002,5,10544,392.0,37.06666666666667,34.4,13.0,12.0,Male
1582,7907,1768.0,870,11,2001,3,4557,488.0,31.7,40.333333333333336,12.0,11.0,Male
3213,14717,3197.0,1108,15,2004,5,8307,348.0,36.2,44.8,15.0,14.0,Male
1098,4960,738.0,376,13,1995,4,3124,134.0,42.2,33.666666666666664,55.0,31.0,Male
1999,8611,2432.0,1230,6,2008,2,4180,91.0,56.4,32.0,58.0,36.0,Male
1544,5092,1496.0,741,4,1992,5,2052,26.0,35.666666666666664,27.666666666666668,29.0,31.0,Female
654,8450,2135.0,1481,11,2000,1,5661,20.0,39.57142857142857,29.0,42.0,29.0,Male
1440,8240,3903.0,3081,7,1997,5,2897,2.0,35.666666666666664,31.5,35.0,29.0,Male
2252,7577,1343.0,541,8,2003,3,3982,18.0,49.625,43.333333333333336,32.0,31.0,Male
1008,6992,3563.0,2964,12,2004,3,2421,32.0,42.2,36.0,40.0,36.0,Male
895,5745,1854.0,503,5,2004,3,2996,365.0,46.2,42.0,46.0,60.0,Female
849,5680,1015.0,502,12,1996,2,3816,602.0,42.75,35.0,44.0,38.0,Male
972,4279,1769.0,797,7,1981,1,1538,9.0,44.166666666666664,30.0,39.0,30.0,Male
1564,5036,2301.0,737,5,1984,1,1171,466.0,43.6,31.0,42.0,31.0,Male
3668,8624,3659.0,1164,6,2003,6,1297,50.0,47.0,38.5,42.0,34.0,Male
692,7061,4364.0,4134,10,2009,4,2005,21.0,41.0,43.5,48.0,32.0,Male
0,3497,686.0,29,9,2003,1,2811,152.0,41.142857142857146,28.0,28.0,34.0,Female
2229,8599,3511.0,1542,7,1990,3,2859,53.0,35.333333333333336,42.333333333333336,32.0,31.0,Male
1597,7514,2992.0,1654,9,1991,2,2925,2.0,54.22222222222222,33.5,43.0,34.0,Male
2898,10170,5317.0,3592,6,1982,4,1955,7.0,51.0,33.0,39.0,37.0,Male
744,6598,2535.0,1918,9,2007,2,3319,60.0,37.285714285714285,45.0,40.0,35.0,Male
1120,9373,2369.0,1497,11,1997,2,5884,122.0,43.0,47.5,30.0,44.0,Male
1103,14205,6335.0,5844,7,1991,3,6767,122.0,40.57142857142857,24.333333333333332,36.0,34.0,Male
1101,8821,3099.0,2666,8,2009,4,4621,85.0,49.166666666666664,37.0,42.0,35.0,Male
2468,9950,1712.0,250,9,2010,3,5770,44.0,42.0,35.0,56.0,27.0,Male
785,4597,1058.0,547,6,1989,2,2754,34.0,44.0,35.5,42.0,30.0,Male
3012,6042,1743.0,99,6,2003,4,1287,28.0,45.5,33.333333333333336,44.0,28.0,Male
0,5856,2199.0,316,7,1996,1,3657,65.0,48.142857142857146,40.0,40.0,48.0,Female
145,3708,653.0,508,11,2003,1,2910,543.0,41.90909090909091,36.0,64.0,36.0,Male
1212,8255,2194.0,1337,11,2001,2,4849,482.0,43.90909090909091,28.0,62.0,32.0,Male
206,4796,844.0,638,13,2002,1,3746,509.0,42.92307692307692,33.0,31.0,33.0,Male
1267,7203,1648.0,983,8,1998,2,4288,128.0,43.0,29.0,31.0,42.0,Male
859,7719,5534.0,4970,6,1992,3,1326,101.0,41.166666666666664,34.333333333333336,38.0,34.0,Male
1316,11126,3686.0,2689,12,2003,3,6124,49.0,37.1,33.0,33.0,33.0,Male
2015,6843,2530.0,1510,5,2004,3,2298,109.0,52.25,20.5,50.0,10.0,Male
4008,10501,4253.0,1776,9,1992,4,2240,8.0,49.875,36.25,55.0,38.0,Male
444,6294,1464.0,1167,8,1998,2,4386,105.0,38.8,38.0,24.0,38.0,Male
1463,12260,3904.0,2828,9,2004,3,6893,92.0,49.625,39.333333333333336,50.0,37.0,Male
1310,9072,4058.0,3356,10,1986,3,3704,20.0,35.375,29.0,33.0,28.0,Male
1583,5375,1767.0,763,7,1994,3,2025,249.0,38.5,27.0,32.0,22.0,Male
1084,4737,2123.0,1247,3,1999,2,1530,292.0,35.0,49.0,38.0,32.0,Male
319,1959,755.0,436,5,2008,1,885,49.0,35.333333333333336,25.0,37.0,25.0,Male
661,6718,2471.0,1810,8,1997,1,3586,473.0,43.42857142857143,39.0,51.0,39.0,Male
781,8285,4205.0,3567,7,1997,2,3299,60.0,38.4,35.0,36.0,24.0,Male
241,4514,1491.0,1250,9,1978,1,2782,130.0,34.285714285714285,24.0,29.0,24.0,Male
1062,5893,1590.0,629,6,2000,2,3241,98.0,39.666666666666664,37.0,36.0,35.0,Male
1490,5908,2365.0,1614,7,2001,4,2053,8.0,38.6,38.5,33.0,37.0,Male
1222,9871,3505.0,3081,6,2007,4,5144,36.0,48.0,40.75,52.0,20.0,Male
0,6165,1699.0,89,9,1999,1,4466,265.0,40.0,29.0,29.0,31.0,Female
1646,6677,2020.0,478,5,1991,3,3011,123.0,33.4,22.0,11.0,39.0,Female
1402,9615,4905.0,2591,4,1997,4,3308,240.0,46.333333333333336,47.25,30.0,34.0,Female
1177,11352,4624.0,3771,9,1994,3,5551,104.0,35.6,27.666666666666668,29.0,21.0,Male
807,10024,3381.0,2902,17,1992,2,5836,5.0,36.8235294117647,35.0,18.0,51.0,Male
1186,4117,1942.0,756,5,2007,1,989,22.0,54.25,25.0,43.0,25.0,Male
1117,5051,1746.0,1046,6,1984,3,2188,68.0,33.6,29.5,20.0,21.0,Female
4037,10732,3410.0,939,3,2009,4,3285,48.0,32.666666666666664,40.75,36.0,38.0,Female
167,5026,1321.0,119,6,2008,2,3538,32.0,36.666666666666664,36.0,24.0,40.0,Female
841,5409,2964.0,2371,6,2001,2,1604,72.0,46.0,40.0,33.0,40.0,Male
616,3306,1001.0,204,3,2002,3,1689,142.0,40.666666666666664,32.666666666666664,40.0,31.0,Female
1858,5762,3046.0,2496,4,2005,4,858,153.0,41.5,27.5,38.0,19.0,Male
152,6720,3070.0,2918,9,2000,1,3498,182.0,42.833333333333336,35.0,44.0,35.0,Male
1259,5955,1689.0,734,8,2001,3,3007,305.0,39.666666666666664,27.0,29.0,28.0,Male
1510,10584,4337.0,2242,6,1986,6,4737,97.0,39.666666666666664,39.666666666666664,32.0,22.0,Female
2139,11649,4853.0,3653,12,1993,6,4657,65.0,39.375,42.666666666666664,38.0,26.0,Male
576,4006,856.0,554,6,1992,2,2574,35.0,23.75,29.0,30.0,24.0,Male
437,7163,3007.0,488,3,1990,2,3719,366.0,38.0,25.5,23.0,41.0,Female
110,9984,2103.0,1993,11,1987,1,7771,68.0,40.77777777777778,35.0,35.0,35.0,Male
2545,9484,4832.0,3831,3,2009,5,2107,190.0,44.333333333333336,54.75,45.0,65.0,Female
2809,8735,1797.0,608,8,1960,5,4129,545.0,41.833333333333336,39.0,29.0,31.0,Male
2036,8063,2261.0,519,10,1995,2,3766,32.0,39.5,23.0,34.0,34.0,Male
2305,6955,3696.0,2691,5,2002,6,954,26.0,39.0,33.0,36.0,35.0,Male
2094,7636,2596.0,1580,7,1994,4,2946,224.0,36.142857142857146,29.333333333333332,40.0,24.0,Male
553,5333,1908.0,401,4,2006,3,2872,74.0,51.25,57.0,61.0,37.0,Female
440,3193,917.0,477,7,1985,1,1836,367.0,48.666666666666664,27.0,39.0,27.0,Male
1297,7709,2498.0,1811,6,1985,3,3914,31.0,29.333333333333332,30.666666666666668,26.0,23.0,Male
2168,14591,5470.0,3302,10,2000,1,6953,28.0,42.0,33.0,41.0,33.0,Male
540,4830,1213.0,673,16,2000,1,3077,72.0,42.25,30.0,36.0,30.0,Male
1168,3554,1167.0,407,5,1975,3,1219,594.0,31.0,27.333333333333332,29.0,29.0,Male
301,7277,1714.0,1532,14,1996,2,5262,263.0,43.46153846153846,26.5,32.0,28.0,Male
1777,13957,5179.0,4085,14,1991,3,7001,343.0,43.75,46.0,36.0,33.0,Male
585,8247,2107.0,1522,16,2008,1,5555,6.0,37.0,36.0,60.0,36.0,Male
2245,6165,1564.0,171,8,2013,3,2356,1.0,37.57142857142857,39.333333333333336,21.0,17.0,Male
1060,5188,2983.0,2090,4,1998,2,1145,31.0,35.0,25.0,18.0,30.0,Male
1721,4410,1600.0,48,5,1997,2,1089,116.0,44.5,32.5,38.0,34.0,Male
654,7304,2332.0,214,5,2001,4,4318,139.0,36.0,21.0,20.0,31.0,Female
763,5842,3244.0,2796,6,2002,3,1835,1.0,35.333333333333336,33.0,43.0,38.0,Male
1556,13704,8189.0,7338,12,1983,2,3959,1.0,46.4,25.0,43.0,25.0,Male
839,9231,3754.0,3022,8,2008,2,4638,40.0,38.833333333333336,43.0,41.0,43.0,Male
1084,3112,501.0,158,8,1994,5,1527,16.0,32.666666666666664,43.0,54.0,26.0,Male
2996,9629,3145.0,1359,7,2010,4,3488,34.0,32.833333333333336,30.0,28.0,28.0,Male
923,5282,2330.0,1407,4,2002,1,2029,341.0,29.75,46.0,46.0,46.0,Male
503,11680,3844.0,1328,11,1991,3,7333,270.0,49.666666666666664,26.5,29.0,54.0,Female
2395,8378,3999.0,3200,4,1992,6,1984,293.0,45.666666666666664,45.833333333333336,37.0,39.0,Female
2051,9895,1437.0,609,15,2006,4,6407,47.0,41.6,41.0,50.0,25.0,Male
1236,4501,1718.0,471,2,1993,4,1547,24.0,46.5,37.0,32.0,34.0,Female
1972,8681,2608.0,1521,10,1999,4,4101,24.0,47.1,42.0,70.0,28.0,Male
8159,15824,6099.0,1125,2,2003,5,1566,180.0,52.5,44.75,66.0,57.0,Male
951,6235,1369.0,152,9,1999,7,3915,89.0,40.25,35.333333333333336,38.0,30.0,Female
5367,14266,4314.0,148,4,2004,7,4585,58.0,23.5,34.42857142857143,38.0,38.0,Female
257,6054,2988.0,2835,8,2004,2,2809,6.0,44.142857142857146,24.0,45.0,24.0,Male
359,4891,915.0,556,8,1983,1,3617,853.0,41.375,27.0,32.0,27.0,Male
1273,5454,1477.0,809,10,2002,4,2704,465.0,53.6,42.0,31.0,21.0,Male
682,7039,2014.0,1543,12,2009,3,4343,299.0,62.166666666666664,48.333333333333336,78.0,77.0,Male
636,9047,2485.0,1849,13,1977,1,5926,1798.0,42.916666666666664,21.0,26.0,21.0,Male
2299,8694,2505.0,1235,10,1997,5,3890,103.0,37.666666666666664,38.75,29.0,26.0,Male
859,9460,2704.0,2248,13,2000,3,5897,11.0,51.3,35.0,50.0,35.0,Male
216,6143,1598.0,1382,13,1973,1,4329,786.0,47.5,41.0,48.0,41.0,Male
0,6456,2421.0,1148,7,1984,1,4035,74.0,43.6,33.0,33.0,35.0,Female
3153,10513,3868.0,1773,8,1999,6,3492,36.0,33.0,27.0,41.0,34.0,Male
363,8611,1427.0,1064,8,2007,1,6821,68.0,46.857142857142854,28.0,67.0,28.0,Male
258,3288,1343.0,1085,5,1982,1,1687,97.0,39.8,28.0,33.0,28.0,Male
136,12141,3216.0,3080,17,2000,1,8789,55.0,52.63636363636363,46.0,45.0,46.0,Male
4093,14243,4819.0,1247,7,1993,3,5331,8.0,30.714285714285715,24.666666666666668,50.0,39.0,Male
632,12452,5603.0,5249,7,1987,3,6217,373.0,33.75,44.5,42.0,26.0,Male
612,8611,2700.0,2088,9,1992,1,5299,47.0,48.2,32.0,33.0,32.0,Male
2686,11665,5732.0,3808,5,1996,2,3247,106.0,50.0,42.0,41.0,42.0,Male
1809,19960,6903.0,5094,11,1987,1,11248,56.0,44.63636363636363,39.0,43.0,39.0,Male
523,5880,2498.0,2249,7,1995,3,2859,61.0,44.142857142857146,30.666666666666668,39.0,40.0,Male
3073,9776,1749.0,541,15,2000,4,4954,200.0,42.46153846153846,32.0,56.0,31.0,Male
402,4928,2133.0,1731,4,1998,1,2393,233.0,37.5,34.0,36.0,34.0,Male
475,4576,1760.0,1556,6,2000,3,2341,153.0,36.666666666666664,62.5,52.0,47.0,Male
725,6431,2009.0,1676,10,1992,3,3697,211.0,42.625,39.5,62.0,40.0,Male
1804,8627,1913.0,97,9,2005,4,4910,95.0,52.285714285714285,40.5,24.0,45.0,Female
2613,9268,4356.0,2737,5,2001,3,2299,155.0,41.4,32.333333333333336,39.0,27.0,Male
1473,6993,2135.0,1086,6,1998,3,3385,18.0,38.2,36.666666666666664,32.0,26.0,Male
291,3044,1003.0,845,6,2004,2,1750,64.0,38.5,31.0,32.0,27.0,Male
1606,5508,2807.0,1707,4,2002,2,1095,61.0,37.0,30.0,24.0,18.0,Male
3564,9917,4135.0,1577,6,2008,5,2218,163.0,43.75,31.333333333333332,29.0,33.0,Male
0,1468,589.0,17,3,2005,1,879,317.0,23.0,11.0,11.0,23.0,Female
2757,11504,2891.0,432,12,2009,2,5856,125.0,44.44444444444444,34.5,36.0,31.0,Male
173,8731,2807.0,2634,15,1996,1,5751,20.0,39.666666666666664,37.0,47.0,37.0,Male
1849,5723,1875.0,356,6,1985,2,1999,160.0,42.0,32.0,43.0,28.0,Male
1326,9092,3060.0,1709,7,1939,3,4706,839.0,47.166666666666664,36.333333333333336,17.0,35.0,Female
2016,8603,2260.0,1004,10,2009,3,4327,208.0,35.5,52.5,41.0,32.0,Male
998,7054,3714.0,2716,7,2002,1,2342,211.0,40.4,27.0,35.0,27.0,Male
2560,11278,2302.0,1286,13,2009,5,6416,192.0,47.09090909090909,28.75,43.0,37.0,Male
1206,16612,4718.0,1372,8,1999,3,10688,65.0,31.285714285714285,23.333333333333332,18.0,20.0,Female
3148,19324,4212.0,3423,22,2013,5,11964,60.0,42.38461538461539,40.25,36.0,31.0,Male
3806,15092,6728.0,4760,7,2009,6,4558,74.0,33.57142857142857,29.0,22.0,37.0,Male
704,11927,5387.0,4857,6,2011,2,5836,40.0,44.0,34.0,28.0,34.0,Male
3438,22962,8570.0,6684,12,1982,7,10954,224.0,32.916666666666664,25.8,41.0,30.0,Male
5422,18184,8938.0,4858,8,2009,4,3824,37.0,38.333333333333336,30.25,28.0,29.0,Male
5854,37778,16148.0,10294,18,1992,1,15776,295.0,38.375,30.0,30.0,30.0,Male
3006,11538,2900.0,1376,6,1997,4,5632,94.0,60.333333333333336,37.0,67.0,33.0,Male
176,15400,4766.0,704,15,1989,2,10458,118.0,39.916666666666664,40.5,31.0,39.0,Female
1212,4779,1573.0,1173,10,1994,4,1994,150.0,48.888888888888886,40.25,30.0,52.0,Female
2481,5209,1635.0,129,4,1991,4,1093,235.0,41.5,41.5,51.0,40.0,Male
3222,15279,6010.0,4022,8,2011,3,6047,68.0,45.857142857142854,28.0,41.0,28.0,Male
2272,19304,9438.0,8248,8,1997,3,7594,11.0,40.375,36.333333333333336,56.0,48.0,Male
774,5435,2005.0,1231,5,1992,1,2656,454.0,49.75,22.0,41.0,22.0,Male
2830,6646,1888.0,4,4,1979,3,1928,6.0,44.5,38.666666666666664,46.0,30.0,Male
0,7646,1846.0,432,12,1992,1,5800,116.0,40.55555555555556,43.0,43.0,41.0,Female
1566,12406,4910.0,3200,9,1986,6,5930,199.0,32.625,28.5,37.0,29.0,Female
938,15090,7706.0,4582,8,2009,5,6446,39.0,44.75,46.25,45.0,49.0,Female
6766,23124,5574.0,2974,11,2000,8,10784,52.0,28.666666666666668,24.142857142857142,32.0,43.0,Male
850,14472,7898.0,7374,8,2009,2,5724,16.0,41.0,36.5,60.0,20.0,Male
4754,14636,5576.0,2826,6,1999,2,4306,222.0,39.166666666666664,29.0,40.0,41.0,Male
5507,21605,6043.0,3745,8,2013,5,10055,160.0,43.875,42.5,39.0,23.0,Male
911,10575,3156.0,2406,11,2001,2,6508,20.0,36.0,39.0,25.0,25.0,Male
4844,14890,3962.0,2966,7,1999,8,6084,174.0,29.285714285714285,23.75,19.0,20.0,Male
12002,32174,14642.0,6862,10,1995,8,5530,130.0,40.625,36.0,51.0,37.0,Male
3038,17000,10832.0,9974,7,2000,6,3130,24.0,36.2,28.0,26.0,26.0,Male
3148,18842,8078.0,5310,10,2003,4,7616,8.0,41.57142857142857,25.5,12.0,39.0,Male
6342,20324,7988.0,3592,3,2009,7,5994,14.0,35.666666666666664,32.8,24.0,56.0,Female
2292,28454,10516.0,8954,16,1999,5,15646,183.0,52.38461538461539,46.8,51.0,36.0,Male
1358,19390,9892.0,4938,7,2001,3,8140,36.0,31.0,40.666666666666664,32.0,33.0,Female
2848,17886,5830.0,3522,12,2009,3,9208,154.0,42.166666666666664,39.5,53.0,40.0,Male
1866,8013,1625.0,1158,8,2012,6,4522,13.0,38.833333333333336,35.0,40.0,24.0,Male
6461,11813,2816.0,349,6,2001,7,2536,6.0,40.166666666666664,34.857142857142854,36.0,39.0,Male
1215,10953,1707.0,971,19,2011,2,8031,4.0,39.13333333333333,60.0,44.0,74.0,Male
